Time,Total Restarts
2025-04-17 14:22:43.087298,1
2025-04-17 14:24:48.731925,1
2025-04-17 14:29:54.328002,0
2025-04-17 14:30:13.402643,0
2025-04-17 16:52:56.630591,0
2025-04-17 16:55:44.958529,0
